Job_ID	Operation_ID_1	Operation_ID_2
1	1	2
1	2	3
1	3	4
1	4	5
1	5	6
1	6	7
1	7	8
1	8	9
1	9	10
1	10	11
1	11	12
1	12	13
1	13	14
1	14	15
1	15	16
1	16	17
1	17	18
1	18	19
1	19	20
1	20	21
1	21	22
1	22	23
1	23	24
1	24	25
1	25	26
1	26	27
1	27	28
2	1	2
2	2	3
2	3	4
2	4	5
2	5	6
2	6	7
2	7	8
2	8	9
2	9	10
2	10	11
2	11	12
2	12	13
2	13	14
2	14	15
2	15	16
2	16	17
2	17	18
2	18	19
2	19	20
2	20	21
2	21	22
2	22	23
2	23	24
2	24	25
2	25	26
2	26	27
2	27	28
3	1	2
3	2	3
3	3	4
3	4	5
3	5	6
3	6	7
3	7	8
3	8	9
3	9	10
3	10	11
3	11	12
3	12	13
3	13	14
3	14	15
3	15	16
3	16	17
3	17	18
3	18	19
3	19	20
3	20	21
3	21	22
3	22	23
3	23	24
3	24	25
3	25	26
3	26	27
3	27	28
4	1	2
4	2	3
4	3	4
4	4	5
4	5	6
4	6	7
4	7	8
4	8	9
4	9	10
4	10	11
4	11	12
4	12	13
4	13	14
4	14	15
4	15	16
4	16	17
4	17	18
4	18	19
4	19	20
4	20	21
4	21	22
4	22	23
4	23	24
4	24	25
4	25	26
4	26	27
4	27	28
5	1	2
5	2	3
5	3	4
5	4	5
5	5	6
5	6	7
5	7	8
5	8	9
5	9	10
5	10	11
5	11	12
5	12	13
5	13	14
5	14	15
5	15	16
5	16	17
5	17	18
5	18	19
5	19	20
5	20	21
5	21	22
5	22	23
5	23	24
5	24	25
5	25	26
5	26	27
5	27	28
6	1	2
6	2	3
6	3	4
6	4	5
6	5	6
6	6	7
6	7	8
6	8	9
6	9	10
6	10	11
6	11	12
6	12	13
6	13	14
6	14	15
6	15	16
6	16	17
6	17	18
6	18	19
6	19	20
6	20	21
6	21	22
6	22	23
6	23	24
6	24	25
6	25	26
6	26	27
6	27	28
7	1	2
7	2	3
7	3	4
7	4	5
7	5	6
7	6	7
7	7	8
7	8	9
7	9	10
7	10	11
7	11	12
7	12	13
7	13	14
7	14	15
7	15	16
7	16	17
7	17	18
7	18	19
7	19	20
7	20	21
7	21	22
7	22	23
7	23	24
7	24	25
7	25	26
7	26	27
7	27	28
8	1	2
8	2	3
8	3	4
8	4	5
8	5	6
8	6	7
8	7	8
8	8	9
8	9	10
8	10	11
8	11	12
8	12	13
8	13	14
8	14	15
8	15	16
8	16	17
8	17	18
8	18	19
8	19	20
8	20	21
8	21	22
8	22	23
8	23	24
8	24	25
8	25	26
8	26	27
8	27	28
9	1	2
9	2	3
9	3	4
9	4	5
9	5	6
9	6	7
9	7	8
9	8	9
9	9	10
9	10	11
9	11	12
9	12	13
9	13	14
9	14	15
9	15	16
9	16	17
9	17	18
9	18	19
9	19	20
9	20	21
9	21	22
9	22	23
9	23	24
9	24	25
9	25	26
9	26	27
9	27	28
10	1	2
10	2	3
10	3	4
10	4	5
10	5	6
10	6	7
10	7	8
10	8	9
10	9	10
10	10	11
10	11	12
10	12	13
10	13	14
10	14	15
10	15	16
10	16	17
10	17	18
10	18	19
10	19	20
10	20	21
10	21	22
10	22	23
10	23	24
10	24	25
10	25	26
10	26	27
10	27	28
